[2019-06-23 18:57:43,974][DEBUG]:  AlexNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.005000
[2019-06-23 18:58:02,647][INFO]: AlexNet | epoch:1/100 | tol_epoch:1 | loss:22.2937 | acc:  9.6% | val_loss:21.3051 | val_acc:8.8095% | lr:0.004993 | time: 18s672ms
[2019-06-23 18:58:19,902][INFO]: AlexNet | epoch:2/100 | tol_epoch:2 | loss:16.8172 | acc: 29.2% | val_loss:13.7878 | val_acc:34.8413% | lr:0.004976 | time: 17s252ms
[2019-06-23 18:58:37,222][INFO]: AlexNet | epoch:3/100 | tol_epoch:3 | loss:11.7693 | acc: 45.7% | val_loss:11.3305 | val_acc:42.8968% | lr:0.004952 | time: 17s318ms
[2019-06-23 18:58:54,582][INFO]: AlexNet | epoch:4/100 | tol_epoch:4 | loss:9.1035 | acc: 55.3% | val_loss:7.7367 | val_acc:60.6349% | lr:0.004922 | time: 17s358ms
[2019-06-23 18:59:12,488][INFO]: AlexNet | epoch:5/100 | tol_epoch:5 | loss:7.3758 | acc: 63.9% | val_loss:5.7755 | val_acc:69.0873% | lr:0.004884 | time: 17s905ms
[2019-06-23 18:59:31,340][INFO]: AlexNet | epoch:6/100 | tol_epoch:6 | loss:5.5810 | acc: 72.0% | val_loss:4.9432 | val_acc:77.1429% | lr:0.004841 | time: 17s621ms
[2019-06-23 18:59:49,183][INFO]: AlexNet | epoch:7/100 | tol_epoch:7 | loss:5.3228 | acc: 73.3% | val_loss:6.3934 | val_acc:69.0079% | lr:0.004791 | time: 17s841ms
[2019-06-23 19:00:06,535][INFO]: AlexNet | epoch:8/100 | tol_epoch:8 | loss:4.2610 | acc: 78.7% | val_loss:3.4772 | val_acc:85.1587% | lr:0.004734 | time: 17s350ms
[2019-06-23 19:00:24,171][INFO]: AlexNet | epoch:9/100 | tol_epoch:9 | loss:3.4910 | acc: 83.1% | val_loss:4.6794 | val_acc:76.7460% | lr:0.004672 | time: 17s634ms
[2019-06-23 19:00:41,505][INFO]: AlexNet | epoch:10/100 | tol_epoch:10 | loss:3.3941 | acc: 83.5% | val_loss:3.1815 | val_acc:85.0397% | lr:0.004603 | time: 17s332ms
[2019-06-23 19:01:00,799][INFO]: AlexNet | epoch:11/100 | tol_epoch:11 | loss:3.3482 | acc: 84.1% | val_loss:3.8722 | val_acc:83.2540% | lr:0.004529 | time: 17s336ms
