[2019-06-22 14:00:13,383][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(224, 224) | class num:62 | lr: 0.010000
[2019-06-22 14:00:30,631][INFO]: LeNet | epoch:1/100 | tol_epoch:1 | loss:14.8246 | acc: 41.4% | val_loss:17.1526 | val_acc:33.1746% | time:17s248ms
[2019-06-22 14:00:46,721][INFO]: LeNet | epoch:2/100 | tol_epoch:2 | loss:11.1443 | acc: 54.7% | val_loss:7.1953 | val_acc:69.4444% | time:16s83ms
[2019-06-22 14:01:02,929][INFO]: LeNet | epoch:3/100 | tol_epoch:3 | loss:6.5398 | acc: 71.3% | val_loss:5.5411 | val_acc:74.6032% | time:16s207ms
[2019-06-22 14:01:18,943][INFO]: LeNet | epoch:4/100 | tol_epoch:4 | loss:4.0597 | acc: 81.5% | val_loss:4.0905 | val_acc:80.7143% | time:16s12ms
[2019-06-22 14:01:34,952][INFO]: LeNet | epoch:5/100 | tol_epoch:5 | loss:3.1657 | acc: 85.5% | val_loss:4.2807 | val_acc:81.9048% | time:16s4ms
[2019-06-22 14:01:51,179][INFO]: LeNet | epoch:6/100 | tol_epoch:6 | loss:5.3436 | acc: 77.2% | val_loss:8.2346 | val_acc:66.5476% | time:16s30ms
[2019-06-22 14:02:07,461][INFO]: LeNet | epoch:7/100 | tol_epoch:7 | loss:4.8610 | acc: 79.4% | val_loss:6.3827 | val_acc:74.0079% | time:16s280ms
[2019-06-22 14:02:23,867][INFO]: LeNet | epoch:8/100 | tol_epoch:8 | loss:3.6318 | acc: 83.3% | val_loss:6.0847 | val_acc:77.1032% | time:16s404ms
[2019-06-22 14:02:39,817][INFO]: LeNet | epoch:9/100 | tol_epoch:9 | loss:3.1313 | acc: 87.1% | val_loss:6.4839 | val_acc:75.2381% | time:15s948ms
[2019-06-22 14:02:55,708][INFO]: LeNet | epoch:10/100 | tol_epoch:10 | loss:2.5565 | acc: 88.9% | val_loss:5.3323 | val_acc:82.2619% | time:15s889ms
[2019-06-22 14:03:12,044][INFO]: LeNet | epoch:11/100 | tol_epoch:11 | loss:2.1908 | acc: 90.1% | val_loss:5.1286 | val_acc:82.1429% | time:16s73ms
[2019-06-22 14:03:28,048][INFO]: LeNet | epoch:12/100 | tol_epoch:12 | loss:1.5462 | acc: 92.7% | val_loss:5.8365 | val_acc:80.8730% | time:16s2ms
