[2019-06-22 18:01:45,315][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 18:01:57,745][INFO]: LeNet | epoch:1/100 | tol_epoch:1 | loss:13.5662 | acc: 45.5% | val_loss:7.3181 | val_acc:66.5079% | lr:0.009986 | time: 12s429ms
[2019-06-22 18:02:08,504][INFO]: LeNet | epoch:2/100 | tol_epoch:2 | loss:5.4719 | acc: 76.2% | val_loss:3.0557 | val_acc:86.7063% | lr:0.009952 | time: 10s752ms
[2019-06-22 18:02:19,263][INFO]: LeNet | epoch:3/100 | tol_epoch:3 | loss:2.5186 | acc: 88.7% | val_loss:2.1876 | val_acc:90.3175% | lr:0.009904 | time: 10s758ms
[2019-06-22 18:02:30,070][INFO]: LeNet | epoch:4/100 | tol_epoch:4 | loss:2.0794 | acc: 90.8% | val_loss:2.2789 | val_acc:91.3492% | lr:0.009843 | time: 10s806ms
[2019-06-22 18:02:41,004][INFO]: LeNet | epoch:5/100 | tol_epoch:5 | loss:2.0974 | acc: 91.5% | val_loss:2.3656 | val_acc:92.3016% | lr:0.009769 | time: 10s932ms
[2019-06-22 18:02:51,845][INFO]: LeNet | epoch:6/100 | tol_epoch:6 | loss:1.8190 | acc: 92.5% | val_loss:2.0137 | val_acc:92.1825% | lr:0.009681 | time: 10s826ms
[2019-06-22 18:03:02,792][INFO]: LeNet | epoch:7/100 | tol_epoch:7 | loss:1.4315 | acc: 93.8% | val_loss:2.0914 | val_acc:92.3016% | lr:0.009581 | time: 10s944ms
[2019-06-22 18:03:13,638][INFO]: LeNet | epoch:8/100 | tol_epoch:8 | loss:0.7275 | acc: 96.9% | val_loss:3.7038 | val_acc:88.3730% | lr:0.009469 | time: 10s846ms
[2019-06-22 18:03:24,513][INFO]: LeNet | epoch:9/100 | tol_epoch:9 | loss:0.5771 | acc: 97.5% | val_loss:2.2072 | val_acc:92.9762% | lr:0.009344 | time: 10s872ms
[2019-06-22 18:03:35,464][INFO]: LeNet | epoch:10/100 | tol_epoch:10 | loss:0.8404 | acc: 96.2% | val_loss:3.3551 | val_acc:90.3571% | lr:0.009207 | time: 10s950ms
[2019-06-22 18:03:46,322][INFO]: LeNet | epoch:11/100 | tol_epoch:11 | loss:1.2350 | acc: 95.9% | val_loss:1.7828 | val_acc:93.0159% | lr:0.009059 | time: 10s842ms
[2019-06-22 18:03:57,308][INFO]: LeNet | epoch:12/100 | tol_epoch:12 | loss:0.5618 | acc: 97.3% | val_loss:2.2726 | val_acc:92.9762% | lr:0.008899 | time: 10s984ms
[2019-06-22 18:04:08,192][INFO]: LeNet | epoch:13/100 | tol_epoch:13 | loss:0.7030 | acc: 97.7% | val_loss:6.8402 | val_acc:86.3889% | lr:0.008729 | time: 10s884ms
[2019-06-22 18:04:19,089][INFO]: LeNet | epoch:14/100 | tol_epoch:14 | loss:1.3552 | acc: 94.7% | val_loss:2.4646 | val_acc:92.7778% | lr:0.008549 | time: 10s896ms
[2019-06-22 18:04:29,908][INFO]: LeNet | epoch:15/100 | tol_epoch:15 | loss:0.4055 | acc: 98.4% | val_loss:2.3281 | val_acc:93.1746% | lr:0.008359 | time: 10s816ms
[2019-06-22 18:04:40,747][INFO]: LeNet | epoch:16/100 | tol_epoch:16 | loss:0.3292 | acc: 98.8% | val_loss:1.9355 | val_acc:94.4444% | lr:0.008160 | time: 10s823ms
