[2019-06-22 16:13:19,162][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(224, 224) | class num:62 | lr: 0.010000
[2019-06-22 16:13:38,301][INFO]: LeNet | epoch:1/100 | tol_epoch:1 | loss:14.0608 | acc: 45.6% | val_loss:13.1245 | val_acc:50.1190% | time:19s138ms
[2019-06-22 16:13:56,304][INFO]: LeNet | epoch:2/100 | tol_epoch:2 | loss:10.1067 | acc: 60.7% | val_loss:6.5905 | val_acc:73.9683% | time:17s995ms
[2019-06-22 16:14:14,268][INFO]: LeNet | epoch:3/100 | tol_epoch:3 | loss:4.4646 | acc: 80.2% | val_loss:4.5766 | val_acc:82.3413% | time:17s963ms
[2019-06-22 16:14:32,035][INFO]: LeNet | epoch:4/100 | tol_epoch:4 | loss:3.0342 | acc: 86.3% | val_loss:3.6781 | val_acc:83.6508% | time:17s765ms
[2019-06-22 16:14:49,837][INFO]: LeNet | epoch:5/100 | tol_epoch:5 | loss:2.1821 | acc: 90.5% | val_loss:3.4250 | val_acc:84.4048% | time:17s800ms
[2019-06-22 16:15:09,041][INFO]: LeNet | epoch:6/100 | tol_epoch:6 | loss:1.9774 | acc: 91.4% | val_loss:4.7407 | val_acc:81.1111% | time:18s108ms
[2019-06-22 16:15:27,283][INFO]: LeNet | epoch:7/100 | tol_epoch:7 | loss:2.1384 | acc: 91.0% | val_loss:3.8544 | val_acc:85.4365% | time:18s239ms
[2019-06-22 16:15:45,041][INFO]: LeNet | epoch:8/100 | tol_epoch:8 | loss:1.6922 | acc: 93.4% | val_loss:4.4606 | val_acc:84.3651% | time:17s757ms
[2019-06-22 16:16:03,226][INFO]: LeNet | epoch:9/100 | tol_epoch:9 | loss:2.3982 | acc: 91.1% | val_loss:5.9887 | val_acc:80.4762% | time:18s184ms
[2019-06-22 16:16:20,992][INFO]: LeNet | epoch:10/100 | tol_epoch:10 | loss:1.9438 | acc: 93.0% | val_loss:6.5105 | val_acc:82.3016% | time:17s765ms
[2019-06-22 16:16:39,995][INFO]: LeNet | epoch:11/100 | tol_epoch:11 | loss:1.8901 | acc: 92.7% | val_loss:4.2693 | val_acc:85.9524% | time:17s793ms
[2019-06-22 16:16:57,833][INFO]: LeNet | epoch:12/100 | tol_epoch:12 | loss:1.7391 | acc: 93.4% | val_loss:7.5972 | val_acc:84.0476% | time:17s835ms
[2019-06-22 16:17:15,779][INFO]: LeNet | epoch:13/100 | tol_epoch:13 | loss:1.5876 | acc: 94.2% | val_loss:4.4932 | val_acc:85.8730% | time:17s945ms
[2019-06-22 16:17:33,500][INFO]: LeNet | epoch:14/100 | tol_epoch:14 | loss:3.9023 | acc: 87.4% | val_loss:7.5641 | val_acc:72.1825% | time:17s719ms
[2019-06-22 16:17:51,397][INFO]: LeNet | epoch:15/100 | tol_epoch:15 | loss:2.7276 | acc: 88.8% | val_loss:4.7684 | val_acc:84.6825% | time:17s896ms
[2019-06-22 16:18:10,262][INFO]: LeNet | epoch:16/100 | tol_epoch:16 | loss:1.2654 | acc: 95.6% | val_loss:5.9918 | val_acc:84.1667% | time:17s843ms
[2019-06-22 16:18:28,243][INFO]: LeNet | epoch:17/100 | tol_epoch:17 | loss:1.7010 | acc: 94.4% | val_loss:4.5653 | val_acc:85.7143% | time:17s980ms
