[2019-06-22 16:50:23,877][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(224, 224) | class num:62 | lr: 0.010000
[2019-06-22 16:50:43,345][INFO]: LeNet | epoch:1/100 | tol_epoch:1 | loss:16.5073 | acc: 39.3% | val_loss:13.5148 | val_acc:49.8413% | lr:0.009992 | time: 19s468ms
[2019-06-22 16:51:01,400][INFO]: LeNet | epoch:2/100 | tol_epoch:2 | loss:9.3047 | acc: 62.1% | val_loss:6.3853 | val_acc:74.3254% | lr:0.009973 | time: 18s49ms
[2019-06-22 16:51:19,388][INFO]: LeNet | epoch:3/100 | tol_epoch:3 | loss:4.4412 | acc: 80.1% | val_loss:3.9399 | val_acc:82.1429% | lr:0.009946 | time: 17s986ms
[2019-06-22 16:51:37,653][INFO]: LeNet | epoch:4/100 | tol_epoch:4 | loss:2.9040 | acc: 86.5% | val_loss:4.4096 | val_acc:79.8016% | lr:0.009912 | time: 18s264ms
[2019-06-22 16:51:55,652][INFO]: LeNet | epoch:5/100 | tol_epoch:5 | loss:2.2939 | acc: 88.8% | val_loss:4.0277 | val_acc:84.2857% | lr:0.009870 | time: 17s995ms
[2019-06-22 16:52:14,739][INFO]: LeNet | epoch:6/100 | tol_epoch:6 | loss:1.7521 | acc: 92.5% | val_loss:4.0539 | val_acc:85.2778% | lr:0.009820 | time: 17s934ms
[2019-06-22 16:52:32,654][INFO]: LeNet | epoch:7/100 | tol_epoch:7 | loss:1.6466 | acc: 92.8% | val_loss:3.5074 | val_acc:86.9048% | lr:0.009763 | time: 17s913ms
[2019-06-22 16:52:50,529][INFO]: LeNet | epoch:8/100 | tol_epoch:8 | loss:1.1413 | acc: 95.3% | val_loss:4.8254 | val_acc:84.4048% | lr:0.009699 | time: 17s874ms
[2019-06-22 16:53:08,642][INFO]: LeNet | epoch:9/100 | tol_epoch:9 | loss:1.6824 | acc: 92.8% | val_loss:3.7949 | val_acc:85.6746% | lr:0.009627 | time: 18s111ms
[2019-06-22 16:53:26,596][INFO]: LeNet | epoch:10/100 | tol_epoch:10 | loss:0.7399 | acc: 96.8% | val_loss:3.7224 | val_acc:87.5397% | lr:0.009548 | time: 17s936ms
[2019-06-22 16:53:45,616][INFO]: LeNet | epoch:11/100 | tol_epoch:11 | loss:1.2494 | acc: 95.7% | val_loss:5.5494 | val_acc:79.6429% | lr:0.009463 | time: 17s925ms
