[2019-06-22 19:45:45,519][DEBUG]:  ResNet18 | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 19:46:03,601][INFO]: ResNet18 | epoch:1/100 | tol_epoch:1 | loss:9.1259 | acc: 64.0% | val_loss:4.8828 | val_acc:77.6190% | lr:0.009986 | time: 18s82ms
[2019-06-22 19:46:20,299][INFO]: ResNet18 | epoch:2/100 | tol_epoch:2 | loss:2.5679 | acc: 88.5% | val_loss:2.2036 | val_acc:90.6746% | lr:0.009952 | time: 16s689ms
[2019-06-22 19:46:37,233][INFO]: ResNet18 | epoch:3/100 | tol_epoch:3 | loss:1.2530 | acc: 94.2% | val_loss:2.2715 | val_acc:90.6349% | lr:0.009904 | time: 16s932ms
[2019-06-22 19:46:53,930][INFO]: ResNet18 | epoch:4/100 | tol_epoch:4 | loss:0.6247 | acc: 97.2% | val_loss:1.6508 | val_acc:92.7381% | lr:0.009843 | time: 16s696ms
[2019-06-22 19:47:10,843][INFO]: ResNet18 | epoch:5/100 | tol_epoch:5 | loss:0.5933 | acc: 97.4% | val_loss:1.6292 | val_acc:94.3254% | lr:0.009769 | time: 16s911ms
[2019-06-22 19:47:27,841][INFO]: ResNet18 | epoch:6/100 | tol_epoch:6 | loss:0.3290 | acc: 98.7% | val_loss:1.3492 | val_acc:95.2778% | lr:0.009681 | time: 16s844ms
[2019-06-22 19:47:44,498][INFO]: ResNet18 | epoch:7/100 | tol_epoch:7 | loss:0.2239 | acc: 98.9% | val_loss:1.5383 | val_acc:94.8413% | lr:0.009581 | time: 16s657ms
[2019-06-22 19:48:01,232][INFO]: ResNet18 | epoch:8/100 | tol_epoch:8 | loss:0.1636 | acc: 99.4% | val_loss:1.4382 | val_acc:94.7222% | lr:0.009469 | time: 16s732ms
[2019-06-22 19:48:17,985][INFO]: ResNet18 | epoch:9/100 | tol_epoch:9 | loss:0.1200 | acc: 99.5% | val_loss:1.1791 | val_acc:95.7540% | lr:0.009344 | time: 16s752ms
[2019-06-22 19:48:34,753][INFO]: ResNet18 | epoch:10/100 | tol_epoch:10 | loss:0.0635 | acc: 99.7% | val_loss:1.2215 | val_acc:95.5952% | lr:0.009207 | time: 16s766ms
[2019-06-22 19:48:51,673][INFO]: ResNet18 | epoch:11/100 | tol_epoch:11 | loss:0.0633 | acc: 99.8% | val_loss:1.1571 | val_acc:96.3095% | lr:0.009059 | time: 16s750ms
[2019-06-22 19:49:08,334][INFO]: ResNet18 | epoch:12/100 | tol_epoch:12 | loss:0.0641 | acc: 99.8% | val_loss:1.1735 | val_acc:96.0317% | lr:0.008899 | time: 16s659ms
[2019-06-22 19:49:25,300][INFO]: ResNet18 | epoch:13/100 | tol_epoch:13 | loss:0.0969 | acc: 99.7% | val_loss:1.1636 | val_acc:96.1111% | lr:0.008729 | time: 16s964ms
[2019-06-22 19:49:42,057][INFO]: ResNet18 | epoch:14/100 | tol_epoch:14 | loss:0.0399 | acc: 99.8% | val_loss:1.0238 | val_acc:96.4683% | lr:0.008549 | time: 16s756ms
[2019-06-22 19:49:58,691][INFO]: ResNet18 | epoch:15/100 | tol_epoch:15 | loss:0.0111 | acc:100.0% | val_loss:1.0326 | val_acc:96.5079% | lr:0.008359 | time: 16s632ms
[2019-06-22 19:50:15,586][INFO]: ResNet18 | epoch:16/100 | tol_epoch:16 | loss:0.0088 | acc:100.0% | val_loss:0.9878 | val_acc:96.6270% | lr:0.008160 | time: 16s728ms
[2019-06-22 19:50:32,312][INFO]: ResNet18 | epoch:17/100 | tol_epoch:17 | loss:0.0050 | acc:100.0% | val_loss:0.9859 | val_acc:96.9841% | lr:0.007952 | time: 16s725ms
[2019-06-22 19:50:49,044][INFO]: ResNet18 | epoch:18/100 | tol_epoch:18 | loss:0.0068 | acc:100.0% | val_loss:0.9926 | val_acc:96.7063% | lr:0.007737 | time: 16s730ms
[2019-06-22 19:51:05,779][INFO]: ResNet18 | epoch:19/100 | tol_epoch:19 | loss:0.0054 | acc:100.0% | val_loss:1.0116 | val_acc:96.5873% | lr:0.007513 | time: 16s734ms
[2019-06-22 19:51:22,510][INFO]: ResNet18 | epoch:20/100 | tol_epoch:20 | loss:0.0053 | acc:100.0% | val_loss:1.0441 | val_acc:96.6667% | lr:0.007283 | time: 16s729ms
[2019-06-22 19:51:39,375][INFO]: ResNet18 | epoch:21/100 | tol_epoch:21 | loss:0.0036 | acc:100.0% | val_loss:1.0025 | val_acc:96.7857% | lr:0.007047 | time: 16s696ms
[2019-06-22 19:51:56,180][INFO]: ResNet18 | epoch:22/100 | tol_epoch:22 | loss:0.0038 | acc:100.0% | val_loss:1.0003 | val_acc:96.7063% | lr:0.006805 | time: 16s803ms
[2019-06-22 19:52:12,895][INFO]: ResNet18 | epoch:23/100 | tol_epoch:23 | loss:0.0024 | acc:100.0% | val_loss:1.0226 | val_acc:96.7460% | lr:0.006558 | time: 16s712ms
