[2019-06-23 13:43:00,901][DEBUG]:  VGG11 | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-23 13:43:23,675][INFO]: VGG11 | epoch:1/100 | tol_epoch:1 | loss:19.6739 | acc: 20.8% | val_loss:13.9003 | val_acc:43.3333% | lr:0.009986 | time: 22s773ms
[2019-06-23 13:43:44,079][INFO]: VGG11 | epoch:2/100 | tol_epoch:2 | loss:11.9423 | acc: 46.0% | val_loss:8.8188 | val_acc:62.7381% | lr:0.009952 | time: 20s398ms
[2019-06-23 13:44:04,257][INFO]: VGG11 | epoch:3/100 | tol_epoch:3 | loss:6.9577 | acc: 67.5% | val_loss:6.1203 | val_acc:72.1032% | lr:0.009904 | time: 20s177ms
[2019-06-23 13:44:24,356][INFO]: VGG11 | epoch:4/100 | tol_epoch:4 | loss:5.2321 | acc: 76.3% | val_loss:5.6690 | val_acc:71.2698% | lr:0.009843 | time: 20s97ms
[2019-06-23 13:44:44,445][INFO]: VGG11 | epoch:5/100 | tol_epoch:5 | loss:3.4443 | acc: 82.9% | val_loss:2.4264 | val_acc:88.0952% | lr:0.009769 | time: 20s87ms
[2019-06-23 13:45:10,379][INFO]: VGG11 | epoch:6/100 | tol_epoch:6 | loss:2.8252 | acc: 86.7% | val_loss:2.7702 | val_acc:87.6190% | lr:0.009681 | time: 20s112ms
[2019-06-23 13:45:30,453][INFO]: VGG11 | epoch:7/100 | tol_epoch:7 | loss:2.2621 | acc: 89.7% | val_loss:4.2683 | val_acc:81.1111% | lr:0.009581 | time: 20s72ms
[2019-06-23 13:45:50,570][INFO]: VGG11 | epoch:8/100 | tol_epoch:8 | loss:2.1844 | acc: 90.1% | val_loss:2.5735 | val_acc:88.2540% | lr:0.009469 | time: 20s115ms
[2019-06-23 13:46:10,679][INFO]: VGG11 | epoch:9/100 | tol_epoch:9 | loss:2.1469 | acc: 91.4% | val_loss:2.4100 | val_acc:90.8730% | lr:0.009344 | time: 20s106ms
[2019-06-23 13:46:30,774][INFO]: VGG11 | epoch:10/100 | tol_epoch:10 | loss:2.1796 | acc: 90.5% | val_loss:2.7233 | val_acc:89.3651% | lr:0.009207 | time: 20s93ms
[2019-06-23 13:46:54,002][INFO]: VGG11 | epoch:11/100 | tol_epoch:11 | loss:1.3808 | acc: 93.6% | val_loss:1.2499 | val_acc:95.1984% | lr:0.009059 | time: 20s135ms
