[2019-06-23 14:19:09,861][DEBUG]:  VGG11bn | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-23 14:19:32,443][INFO]: VGG11bn | epoch:1/100 | tol_epoch:1 | loss:26.7363 | acc:  8.9% | val_loss:22.7936 | val_acc:5.5556% | lr:0.009986 | time: 22s580ms
[2019-06-23 14:19:53,643][INFO]: VGG11bn | epoch:2/100 | tol_epoch:2 | loss:20.9050 | acc: 16.9% | val_loss:19.2518 | val_acc:29.0873% | lr:0.009952 | time: 21s190ms
[2019-06-23 14:20:14,987][INFO]: VGG11bn | epoch:3/100 | tol_epoch:3 | loss:18.4814 | acc: 26.9% | val_loss:15.1111 | val_acc:39.3651% | lr:0.009904 | time: 21s343ms
[2019-06-23 14:20:36,094][INFO]: VGG11bn | epoch:4/100 | tol_epoch:4 | loss:15.0032 | acc: 35.8% | val_loss:12.7736 | val_acc:42.5397% | lr:0.009843 | time: 21s105ms
[2019-06-23 14:20:57,240][INFO]: VGG11bn | epoch:5/100 | tol_epoch:5 | loss:13.2098 | acc: 40.5% | val_loss:12.6225 | val_acc:43.2143% | lr:0.009769 | time: 21s144ms
[2019-06-23 14:21:21,061][INFO]: VGG11bn | epoch:6/100 | tol_epoch:6 | loss:12.2962 | acc: 43.7% | val_loss:10.5431 | val_acc:49.4841% | lr:0.009681 | time: 21s142ms
[2019-06-23 14:21:42,098][INFO]: VGG11bn | epoch:7/100 | tol_epoch:7 | loss:10.8197 | acc: 49.1% | val_loss:10.2153 | val_acc:42.6190% | lr:0.009581 | time: 21s29ms
[2019-06-23 14:22:03,343][INFO]: VGG11bn | epoch:8/100 | tol_epoch:8 | loss:10.0516 | acc: 53.8% | val_loss:8.3554 | val_acc:61.2698% | lr:0.009469 | time: 21s243ms
[2019-06-23 14:22:24,413][INFO]: VGG11bn | epoch:9/100 | tol_epoch:9 | loss:9.1289 | acc: 57.2% | val_loss:7.3625 | val_acc:66.5079% | lr:0.009344 | time: 21s68ms
[2019-06-23 14:22:45,682][INFO]: VGG11bn | epoch:10/100 | tol_epoch:10 | loss:8.0581 | acc: 62.3% | val_loss:6.1056 | val_acc:71.7857% | lr:0.009207 | time: 21s268ms
[2019-06-23 14:23:09,761][INFO]: VGG11bn | epoch:11/100 | tol_epoch:11 | loss:9.0575 | acc: 66.4% | val_loss:8.1285 | val_acc:66.3889% | lr:0.009059 | time: 21s201ms
[2019-06-23 14:23:31,371][INFO]: VGG11bn | epoch:12/100 | tol_epoch:12 | loss:13.0893 | acc: 60.5% | val_loss:7.8618 | val_acc:68.2143% | lr:0.008899 | time: 21s608ms
[2019-06-23 14:23:52,618][INFO]: VGG11bn | epoch:13/100 | tol_epoch:13 | loss:8.5834 | acc: 71.3% | val_loss:4.2993 | val_acc:76.4286% | lr:0.008729 | time: 21s246ms
[2019-06-23 14:24:14,090][INFO]: VGG11bn | epoch:14/100 | tol_epoch:14 | loss:8.7233 | acc: 68.5% | val_loss:4.5062 | val_acc:81.7063% | lr:0.008549 | time: 21s470ms
[2019-06-23 14:24:35,206][INFO]: VGG11bn | epoch:15/100 | tol_epoch:15 | loss:3.6559 | acc: 83.0% | val_loss:5.2023 | val_acc:79.6825% | lr:0.008359 | time: 21s114ms
[2019-06-23 14:25:02,936][INFO]: VGG11bn | epoch:16/100 | tol_epoch:16 | loss:2.6343 | acc: 87.1% | val_loss:2.4814 | val_acc:88.6905% | lr:0.008160 | time: 21s385ms
[2019-06-23 14:25:24,150][INFO]: VGG11bn | epoch:17/100 | tol_epoch:17 | loss:1.8724 | acc: 90.5% | val_loss:2.7355 | val_acc:89.1667% | lr:0.007952 | time: 21s213ms
[2019-06-23 14:25:45,397][INFO]: VGG11bn | epoch:18/100 | tol_epoch:18 | loss:1.5360 | acc: 92.0% | val_loss:2.1541 | val_acc:90.7540% | lr:0.007737 | time: 21s245ms
[2019-06-23 14:26:06,886][INFO]: VGG11bn | epoch:19/100 | tol_epoch:19 | loss:1.4724 | acc: 93.0% | val_loss:2.2144 | val_acc:89.4444% | lr:0.007513 | time: 21s487ms
[2019-06-23 14:26:28,392][INFO]: VGG11bn | epoch:20/100 | tol_epoch:20 | loss:1.0132 | acc: 94.6% | val_loss:1.8859 | val_acc:92.8175% | lr:0.007283 | time: 21s503ms
